Name,Sex,Event,Equipment,Age,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Tested,AgeClass,Country,Glossbrenner,Federation,Date,MeetCountry,MeetState,MeetName
Niko Kopola,M,SBD,Raw,14.5,Under 18,65.65,66,115,125,132.5,,132.5,70,77.5,-80,,77.5,130,140,150,,150,360,1,283.91,349.21,Yes,13-15,,275.64,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Aaro Kallionkieli,M,SBD,Raw,17.5,Under 18,60.03,66,100,110,,,110,75,80,-82.5,,80,105,115,120,,120,310,2,264.27,285.41,Yes,Unknown,Finland,257.49,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Tuomas Tavi,M,SBD,Raw,15.5,Under 18,71.09,74,145,155,157.5,,157.5,90,-105,-105,,90,180,-200,,,180,427.5,1,316.64,373.63,Yes,Unknown,,306.68,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Pyry Savinen,M,SBD,Raw,17.5,Under 18,82,83,145,-152.5,-157.5,,145,87.5,92.5,95,,95,200,-217.5,222.5,,222.5,462.5,1,310.97,335.85,Yes,Unknown,,300.25,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Jasper Leppäkangas,M,SBD,Raw,17.5,Under 18,77.02,83,150,160,165,,165,85,90,95,,95,185,195,200,,200,460,2,321.89,347.64,Yes,Unknown,,311.18,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Juuso Reinikainen,M,SBD,Raw,17.5,Under 18,92.92,93,210,-225,-225,,210,120,130,-135,,130,230,240,-250,,240,580,1,364.5,393.66,Yes,Unknown,Finland,351,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Mikael Salomäki,M,SBD,Raw,14.5,Under 18,91.41,93,150,155,160,,160,80,82.5,85,,85,170,177.5,-182.5,,177.5,422.5,2,267.63,329.19,Yes,13-15,,257.82,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Hermanni Järvenpää,M,SBD,Raw,14.5,Under 18,92.4,93,100,120,-130,,120,110,120,-122.5,,120,150,160,165,,165,405,3,255.2,313.9,Yes,13-15,,245.79,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Nuutti Mansukoski,M,SBD,Raw,17.5,Under 18,116.2,120,220,-230,-230,,220,140,150,-152.5,,150,240,-250,-250,,240,610,1,353.48,381.75,Yes,Unknown,Finland,337.83,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Lassi Immonen,M,SBD,Raw,19.5,Under 23,72.67,74,175,187.5,192.5,,192.5,97.5,105,107.5,,107.5,185,205,-215,,205,505,1,368.02,382.74,Yes,Unknown,,356.25,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Simo Halla,M,SBD,Raw,20.5,Under 23,73.7,74,125,132.5,140,,140,80,92.5,-100,,92.5,180,192.5,200,,200,432.5,2,312,321.36,Yes,20-23,,301.92,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Teemu Hällfors,M,SBD,Raw,22.5,Under 23,81.93,83,210,-230,245,,245,170,177.5,-182.5,,177.5,235,250,260,,260,682.5,1,459.12,463.72,Yes,20-23,Finland,443.3,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Joel Rautiainen,M,SBD,Raw,22.5,Under 23,82.41,83,190,200,,,200,115,125,-130,,125,190,200,-205,,200,525,2,351.93,355.45,Yes,20-23,,339.76,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Sami Lehtonen,M,SBD,Raw,22.5,Under 23,91.61,93,230,237.5,-242.5,,237.5,162.5,167.5,172.5,,172.5,285,292.5,310,,310,720,1,455.59,460.15,Yes,20-23,Finland,438.87,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Janne Marttila,M,SBD,Raw,22.5,Under 23,92.79,93,245,252.5,-255,,252.5,155,160,162.5,,162.5,270,282.5,-290,,282.5,697.5,2,438.63,443.02,Yes,20-23,Finland,422.4,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Jere Savolainen,M,SBD,Raw,22.5,Under 23,92.97,93,-220,220,235,,235,130,-140,-140,,130,240,255,270,,270,635,3,398.96,402.95,Yes,20-23,Finland,384.18,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Niko Nurmi,M,SBD,Raw,22.5,Under 23,104.75,105,250,260,265,,265,140,150,-155,,150,270,285,300,,300,715,1,427.61,431.89,Yes,20-23,Finland,410.35,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Tuomas Puhakka,M,SBD,Raw,22.5,Under 23,102.11,105,200,220,227.5,,227.5,140,147.5,152.5,,152.5,240,260,270,,270,650,2,392.38,396.31,Yes,20-23,Finland,376.87,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Hannu Österman,M,SBD,Raw,19.5,Under 23,104.12,105,210,220,230,,230,110,120,-125,,120,250,-272.5,-272.5,,250,600,3,359.6,373.99,Yes,Unknown,,345.16,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Ville Niskanen,M,SBD,Raw,22.5,Under 23,104.93,105,190,200,-207.5,,200,-115,-115,-115,,,,,,,,,DQ,,,Yes,20-23,Finland,,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Daniel Holmstedt,M,SBD,Raw,18.5,Under 23,116.95,120,220,240,,,240,140,145,150,,150,210,235,,,235,625,1,361.57,383.27,Yes,18-19,,345.47,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Henri Karjaluoto,M,SBD,Raw,22.5,Under 23,135.11,120,230,245,260,,260,130,142.5,-147.5,,142.5,270,287.5,,,287.5,690,1,387.71,391.59,Yes,20-23,,367.91,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Jonas Solvin,M,SBD,Raw,20.5,Under 23,122.94,120,140,160,170,,170,110,125,130,,130,200,225,230,,230,530,2,303.07,312.16,Yes,20-23,,288.9,SVNL,27/01/2018,Finland,,Nuorten klassisen voimanoston SM-kisat
Vappu Kopra,F,SBD,Single-ply,38.5,Open,62.63,63,40,45,50,,50,67.5,-70,-70,,67.5,50,60,90,,90,207.5,1,223.84,223.84,Yes,35-39,,197.67,SVNL,06/01/2018,Finland,,Kansallinen Varustevoimanosto
Teemu Hällfors,M,SBD,Single-ply,22.5,Under 23,82.07,83,200,225,245,,245,180,-195,-205,,180,-240,245,-260,,245,670,1,450.25,454.75,Yes,20-23,Finland,434.72,SVNL,06/01/2018,Finland,,Kansallinen Varustevoimanosto
Ari Oksanen,M,SBD,Single-ply,53.5,Over 50,82.68,83,65,85,105,,105,65,85,105,,105,65,85,105,,105,315,1,210.75,249.52,Yes,50-54,Finland,203.45,SVNL,06/01/2018,Finland,,Kansallinen Varustevoimanosto
Voitto Ahopelto,M,SBD,Single-ply,61.5,Over 60,92.45,93,130,150,170,,170,130,140,-155,,140,170,185,-200,,185,495,1,311.84,425.97,Yes,60-64,Finland,300.32,SVNL,06/01/2018,Finland,,Kansallinen Varustevoimanosto
Tarmo Vanhamäki,M,SBD,Single-ply,57.5,Over 50,97.04,105,50,60,70,,70,50,80,100,,100,50,130,150,,150,320,1,197.19,250.04,Yes,55-59,Finland,189.68,SVNL,06/01/2018,Finland,,Kansallinen Varustevoimanosto
Miisamarja Kaukoniemi,F,B,Raw,47.5,Open,86.45,84,,,,,,50,52.5,55,,55,,,,,,55,1,48.37,52.34,Yes,45-49,,42.19,SVNL,24/01/2018,Finland,,Klassisk bänkpress
Pontus Westerlund,M,B,Raw,36.5,Open,97.75,105,,,,,,150,157.5,-162.5,,157.5,,,,,,157.5,1,96.75,96.75,Yes,35-39,,93.05,SVNL,24/01/2018,Finland,,Klassisk bänkpress
Thomas Salin,M,B,Raw,51.5,Open,105,105,,,,,,125,132.5,140,,140,,,,,,140,2,83.66,95.96,Yes,50-54,,80.28,SVNL,24/01/2018,Finland,,Klassisk bänkpress
Torbjörn Kevin,M,B,Raw,21.5,Open,101.15,105,,,,,,112.5,122.5,-130,,122.5,,,,,,122.5,3,74.22,75.7,Yes,20-23,,71.3,SVNL,24/01/2018,Finland,,Klassisk bänkpress
Tauno Hartikka,M,B,Raw,71.5,Open,105.6,120,,,,,,90,100,102.5,,102.5,,,,,,102.5,1,61.13,102.76,Yes,70-74,,58.64,SVNL,24/01/2018,Finland,,Klassisk bänkpress
Netta Miettinen,F,B,Raw,22.5,Under 23,90.3,84,,,,,,60,70,-80,,70,,,,,,70,1,60.4,61.01,Yes,20-23,,52.49,SVNL,21/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Timo Vitikka,M,B,Raw,69.5,Open,68.7,74,,,,,,70,75,80,,80,,,,,,80,1,60.83,97.93,Yes,Unknown,,58.97,SVNL,21/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Olavi Kallio,M,B,Raw,84.5,Open,82.65,83,,,,,,100,105,107.5,,107.5,,,,,,107.5,1,71.94,160.99,Yes,80-99,Finland,69.45,SVNL,21/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Petri Välkkynen,M,B,Raw,44.5,Open,88.5,93,,,,,,140,150,155,,155,,,,,,155,1,99.82,104.11,Yes,Unknown,,96.22,SVNL,21/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Ville Naapuri,M,B,Raw,24.5,Open,91.85,93,,,,,,130,137.5,-142.5,,137.5,,,,,,137.5,2,86.89,86.89,Yes,24-34,Finland,83.7,SVNL,21/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Miska Mustikkamaa,M,B,Raw,19.5,Open,91.25,93,,,,,,120,-130,130,,130,,,,,,130,3,82.42,85.72,Yes,Unknown,,79.4,SVNL,21/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Jukka Rinkinen,M,B,Raw,38.5,Open,102.6,105,,,,,,175,180,-185,,180,,,,,,180,1,108.46,108.46,Yes,35-39,,104.16,SVNL,21/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Jukka Lahikainen,M,B,Raw,49.5,Open,117.95,120,,,,,,160,170,180,,180,,,,,,180,1,103.91,115.65,Yes,Unknown,Finland,99.25,SVNL,21/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Janne Kuuseva,M,B,Raw,49.5,Open,110.8,120,,,,,,150,165,175,,175,,,,,,175,2,102.76,114.37,Yes,Unknown,,98.41,SVNL,21/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Mikko Sipola,M,B,Raw,41.5,Open,113.4,120,,,,,,160,170,175,,175,,,,,,175,3,102.07,103.09,Yes,40-44,,97.66,SVNL,21/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Kalle Salmela,M,B,Raw,29.5,Open,135,120,,,,,,170,185,200,,200,,,,,,200,1,112.39,112.39,Yes,24-34,,106.66,SVNL,21/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Risto Korhonen,M,B,Raw,59.5,Open,133.3,120,,,,,,135,145,155,,155,,,,,,155,2,87.29,114.78,Yes,Unknown,Finland,82.88,SVNL,21/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Juulia Yliheikkilä,F,SBD,Raw,19.5,Open,62.95,63,65,70,75,,75,62.5,65,-67.5,,65,80,87.5,95,,95,235,1,252.53,262.63,Yes,Unknown,Finland,222.99,SVNL,07/01/2018,Finland,,Kansallinen klassinen voimanostokilpailu
Henri Kyntäjä,M,SBD,Raw,30.5,Open,65.95,66,160,170,175,,175,100,-110,110,,110,180,190,-195,,190,475,1,373.2,373.2,Yes,24-34,,362.27,SVNL,07/01/2018,Finland,,Kansallinen klassinen voimanostokilpailu
Ilpo Kylmäluoma,M,SBD,Raw,67.5,Open,112.7,120,130,140,150,,150,80,,,,80,170,180,,,180,410,1,239.56,369.64,Yes,65-69,,229.26,SVNL,07/01/2018,Finland,,Kansallinen klassinen voimanostokilpailu
Wilma Kivikari,F,B,Raw,12.5,Under 14,42.91,43,,,,,,30,32.5,-35,,32.5,,,,,,32.5,1,46.52,61.87,Yes,Unknown,,41.85,SVNL,20/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Merja Ojala,F,B,Raw,54.5,Over 50,62.58,63,,,,,,55,-60,-60,,55,,,,,,55,1,59.37,71.48,Yes,Unknown,,52.43,SVNL,20/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Sinikka Näslund,F,B,Raw,57.5,Over 50,64.35,72,,,,,,50,52.5,55,,55,,,,,,55,1,58.13,73.71,Yes,55-59,Finland,51.32,SVNL,20/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Maritta Jaurola,F,B,Raw,67.5,Over 60,71.1,72,,,,,,52.5,55,57.5,,57.5,,,,,,57.5,1,56.6,87.33,Yes,65-69,Finland,49.87,SVNL,20/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Tommi Rannila,M,B,Raw,24,Open,92.2,93,,,,,,165,175,-185,,175,,,,,,175,1,110.39,110.39,Yes,24-34,Finland,106.32,SVNL,20/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Markus Lindholm,M,B,Raw,31.5,Open,92.67,93,,,,,,-140,145,150,,150,,,,,,150,2,94.39,94.39,Yes,24-34,,90.9,SVNL,20/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Esa Kangasniemi,M,B,Raw,50.5,Over 50,118.86,120,,,,,,142.5,-152.5,152.5,,152.5,,,,,,152.5,1,87.87,99.3,Yes,50-54,,83.9,SVNL,20/01/2018,Finland,,Kansallinen klassinen penkkipunnerrus
Johanna Enkvist,F,B,Raw,22.5,Under 23,56.15,57,,,,,,55,62.5,-65,,62.5,,,,,,62.5,1,73.38,74.12,Yes,20-23,,64.91,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Merja Ojala,F,B,Raw,54.5,Over 50,62.15,63,,,,,,52.5,55,57.5,,57.5,,,,,,57.5,1,62.39,75.12,Yes,Unknown,,55.1,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Joanna Linna,F,B,Raw,43.5,Over 40,88.85,84,,,,,,75,77.5,80,,80,,,,,,80,1,69.5,71.66,Yes,40-44,Finland,60.48,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Nicklas Björkgren,M,B,Raw,17.5,Under 18,64.65,66,,,,,,70,77.5,82.5,,82.5,,,,,,82.5,1,65.9,71.17,Yes,Unknown,,64.02,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Tony Björkgren,M,B,Raw,42.5,Over 40,71.45,74,,,,,,110,115,120,,120,,,,,,120,1,88.55,90.32,Yes,40-44,Finland,85.75,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Tobias Selin,M,B,Raw,25.5,Open,81.3,83,,,,,,135,140,,,140,,,,,,140,1,94.62,94.62,Yes,24-34,,91.38,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Juha Kivinen,M,B,Raw,59.5,Over 60,82.1,83,,,,,,130,-137.5,142.5,,142.5,,,,,,142.5,1,95.74,125.9,Yes,Unknown,Finland,92.44,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Joel Rissanen,M,B,Raw,17.5,Under 18,92,93,,,,,,110,115,120,,120,,,,,,120,1,75.77,81.84,Yes,Unknown,,72.99,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Jonatan Strandén,M,B,Raw,32.5,Open,91.35,93,,,,,,115,122.5,-127.5,,122.5,,,,,,122.5,2,77.62,77.62,Yes,24-34,,74.78,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Jussi Kangasvieri,M,B,Raw,30.5,Open,104.95,105,,,,,,160,167.5,175,,175,,,,,,175,1,104.59,104.59,Yes,24-34,Finland,100.36,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Pekka Penttilä,M,B,Raw,42.5,Over 40,103.85,105,,,,,,177.5,182.5,-190,,182.5,,,,,,182.5,1,109.48,111.67,Yes,40-44,Finland,105.1,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Juha Pohjonen,M,B,Raw,51.5,Over 50,95.7,105,,,,,,140,150,160,,160,,,,,,160,1,99.2,113.78,Yes,50-54,Finland,95.45,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Marko Palokoski,M,B,Raw,48.5,Over 40,122.55,120,,,,,,155,-160,-160,,155,,,,,,155,1,88.69,97.3,Yes,45-49,,84.56,SVNL,06/01/2018,Finland,,Klassinen penkkipunnerrus
Jari Kyntäjä,M,B,Raw,46.5,Open,92,93,,,,,,155,162.5,-167.5,,162.5,,,,,,162.5,1,102.61,109.59,Yes,45-49,,98.83,SVNL,07/01/2018,Finland,,Kansallinen klassinen penkkipunnerruskilpailu
Aki Koskela,M,B,Raw,31.5,Open,86.5,93,,,,,,135,142.5,-150,,142.5,,,,,,142.5,2,92.9,92.9,Yes,24-34,,89.6,SVNL,07/01/2018,Finland,,Kansallinen klassinen penkkipunnerruskilpailu
Ilkka Matinlompolo,M,B,Raw,55.5,Open,101.35,105,,,,,,-130,140,150,,150,,,,,,150,1,90.81,111.24,Yes,55-59,,87.24,SVNL,07/01/2018,Finland,,Kansallinen klassinen penkkipunnerruskilpailu
Tero Arponen,M,B,Raw,37.5,Open,118.4,120,,,,,,210,220,225,,225,,,,,,225,1,129.77,129.77,Yes,35-39,,123.92,SVNL,07/01/2018,Finland,,Kansallinen klassinen penkkipunnerruskilpailu
Ada Hukki,F,SBD,Raw,32.5,Open,56.25,57,75,85,95,,95,40,47.5,52.5,,52.5,115,125,135,,135,282.5,1,331.23,331.23,Yes,24-34,,292.96,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Sara Nyholm,F,SBD,Raw,23.5,Open,61.85,63,107.5,112.5,117.5,,117.5,52.5,55,57.5,,57.5,125,135,-140,,135,310,1,337.63,337.63,Yes,Unknown,Denmark,298.2,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Christoffer Löfqvist,M,SBD,Raw,23.5,Open,73.25,74,140,155,160,,160,110,115,120,,120,200,210,-222.5,,210,490,1,355.04,355.04,Yes,Unknown,,343.62,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Tomi Koskinen,M,SBD,Raw,26.5,Open,82.25,83,170,-180,180,,180,110,-115,-115,,110,215,-225,-225,,215,505,1,338.92,338.92,Yes,24-34,,327.22,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Pauli Linna,M,SBD,Raw,60.5,Over 60,80.65,83,125,-135,135,,135,75,85,90,,90,170,190,200,,200,425,1,288.68,386.83,Yes,60-64,Finland,278.82,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Kristian Kulla,M,SBD,Raw,38.5,Open,86.3,93,140,150,162.5,,162.5,120,127.5,135,,135,195,210,230,,230,527.5,1,344.33,344.33,Yes,35-39,,332.12,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Juho Rita,M,SBD,Raw,25.5,Open,87.1,93,147.5,155,-162.5,,155,115,122.5,-127.5,,122.5,225,240,247.5,,247.5,525,2,340.98,340.98,Yes,24-34,,328.82,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Jonatan Strandén,M,SBD,Raw,32.5,Open,91.7,93,160,170,177.5,,177.5,117.5,125,127.5,,127.5,195,207.5,217.5,,217.5,522.5,3,330.46,330.46,Yes,24-34,,318.32,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Conny Granholm,M,SBD,Raw,23.5,Open,87.15,93,165,172.5,-177.5,,172.5,125,132.5,137.5,,137.5,185,195,200,,200,510,4,331.13,331.13,Yes,Unknown,,319.32,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Eino Antila,M,SBD,Raw,62.5,Over 60,92.8,93,160,170,-175,,170,110,117.5,120,,120,180,190,195,,195,485,1,304.98,424.84,Yes,60-64,,293.7,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Jussi Kangasvieri,M,SBD,Raw,30.5,Open,104.8,105,210,225,240,,240,155,162.5,170,,170,240,255,270,,270,680,1,406.61,406.61,Yes,24-34,Finland,390.2,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Eerikki Ala-Häivälä,M,SBD,Raw,35.5,Open,102.45,105,205,215,225,,225,145,-155,-155,,145,220,230,-245,,230,600,2,361.75,361.75,Yes,35-39,,347.4,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Timo Mylläri,M,SBD,Raw,52.5,Over 50,104.75,105,150,160,165,,165,110,115,120,,120,200,215,-220,,215,500,1,299.03,348.37,Yes,50-54,,286.96,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Kai Haarala,M,SBD,Raw,35.5,Open,137.2,120,200,212.5,222.5,,222.5,160,172.5,180,,180,260,285,305,,305,707.5,1,396.58,396.58,Yes,35-39,Finland,376.06,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Raimo Lumijärvi,M,SBD,Raw,55.5,Over 50,124.6,120,240,-255,-262.5,,240,160,170,-180,,170,240,260,270,,270,680,1,387.75,474.99,Yes,55-59,Finland,369.39,SVNL,20/01/2018,Finland,,Klassinen voimanosto
Kate Bulzan,F,SBD,Multi-ply,23,F-EO,74.8,75,-182.5,-182.5,-182.5,,,-132.5,-132.5,-132.5,,,137.5,-140,-140,,137.5,,DQ,,,Yes,20-23,,,UPA,20/01/2018,USA,MI,Winter Warfare
Stephanie Marsh,F,SBD,Wraps,37,F-RM1,60,60,112.5,-120,120,,120,67.5,72.5,-75,,72.5,140,152.5,-157.5,,152.5,345,1,384.64,384.64,Yes,35-39,,339.85,UPA,20/01/2018,USA,MI,Winter Warfare
Erin Janowicz,F,SBD,Wraps,41,F-RM1,59.5,60,-112.5,112.5,-117.5,,112.5,52.5,-55,-55,,52.5,140,150,-155,,150,315,2,353.48,357.01,Yes,40-44,,312.35,UPA,20/01/2018,USA,MI,Winter Warfare
Reina Telin,F,SBD,Wraps,38,F-RSub,86.3,90,115,125,135,,135,80,87.5,-92.5,,87.5,130,145,152.5,,152.5,375,1,330.07,330.07,Yes,35-39,,287.97,UPA,20/01/2018,USA,MI,Winter Warfare
Alex Gordon,M,SBD,Multi-ply,22,M-EJr,88.5,90,295,317.5,-327.5,,317.5,-227.5,-227.5,-227.5,,,237.5,247.5,-257.5,,247.5,,DQ,,,Yes,20-23,USA,,UPA,20/01/2018,USA,MI,Winter Warfare
Skyler Brandt,M,SBD,Wraps,18,M-RT3,119.3,125,-265,-272.5,-272.5,,,-137.5,-142.5,,,,-287.5,-287.5,,,,,DQ,,,Yes,18-19,,,UPA,20/01/2018,USA,MI,Winter Warfare
Austin Mayfield,M,SBD,Wraps,20,M-RJr,87.5,90,197.5,-210,215,,215,-125,-127.5,-127.5,,,,,,,,,DQ,,,Yes,20-23,,,UPA,20/01/2018,USA,MI,Winter Warfare
Brandon Mannebach,M,SBD,Wraps,31,M-RO,82.1,82.5,-185,185,,,185,122.5,127.5,-132.5,,127.5,227.5,235,242.5,,242.5,555,1,372.89,372.89,Yes,24-34,,360.02,UPA,20/01/2018,USA,MI,Winter Warfare
Anthony Chmielewski,M,SBD,Wraps,28,M-RO,81.1,82.5,160,172.5,185,,185,-115,125,-137.5,,125,182.5,192.5,205,,205,515,2,348.61,348.61,Yes,24-34,,336.66,UPA,20/01/2018,USA,MI,Winter Warfare
Jeremy Goss,M,SBD,Wraps,30,M-RO,95.3,100,232.5,250,-255,,250,142.5,-152.5,-152.5,,142.5,275,287.5,300,,300,692.5,1,430.14,430.14,Yes,24-34,,413.95,UPA,20/01/2018,USA,MI,Winter Warfare
Dan Allison,M,SBD,Wraps,31,M-RO,93,100,242.5,260,272.5,,272.5,147.5,155,-160,,155,260,-275,-275,,260,687.5,2,431.88,431.88,Yes,24-34,,415.88,UPA,20/01/2018,USA,MI,Winter Warfare
Adam Sparks,M,SBD,Wraps,32,M-RO,98.5,100,150,165,177.5,,177.5,112.5,125,-132.5,,125,187.5,205,-217.5,,205,507.5,3,310.77,310.77,Yes,24-34,,298.8,UPA,20/01/2018,USA,MI,Winter Warfare
Matthew Wilkinson,M,SBD,Wraps,26,M-RO,120.3,125,192.5,210,-215,,210,172.5,-185,-185,,172.5,272.5,292.5,-300,,292.5,675,1,387.85,387.85,Yes,24-34,,370.1,UPA,20/01/2018,USA,MI,Winter Warfare
Tyler Terpening,M,SBD,Wraps,29,M-RO,118.1,125,185,200,207.5,,207.5,135,145,155,,155,227.5,240,250,,250,612.5,2,353.48,353.48,Yes,24-34,,337.59,UPA,20/01/2018,USA,MI,Winter Warfare
Matthew Ogurek,M,B,Multi-ply,44,M-EM1,109.1,110,,,,,,227.5,250,-272.5,,250,,,,,,250,1,147.5,153.84,Yes,40-44,USA,141.34,UPA,20/01/2018,USA,MI,Winter Warfare
John Watkins,M,D,Raw,17,M-RT2,66.4,67.5,,,,,,,,,,,150,160,170,,170,170,1,132.82,143.45,Yes,16-17,,128.91,UPA,20/01/2018,USA,MI,Winter Warfare
Liz Darling,F,BD,Raw,27,F-RO,77.1,82.5,,,,,,37.5,-42.5,-42.5,,37.5,62.5,75,85,,85,122.5,1,114.5,114.5,Yes,24-34,,100.61,UPA,20/01/2018,USA,MI,Winter Warfare
Patrick Mitchell,M,BD,Multi-ply,41,M-EM1,123.9,125,,,,,,-185,185,-192.5,,185,227.5,-242.5,-242.5,,227.5,412.5,1,235.49,237.84,Yes,40-44,,224.4,UPA,20/01/2018,USA,MI,Winter Warfare
Christopher Kuchta,M,SBD,Multi-ply,24,M-EO,89.3,90,275,295,-302.5,,295,-182.5,182.5,-212.5,,182.5,227.5,-250,-250,,227.5,705,1,451.87,451.87,No,24-34,,435.53,UPA,20/01/2018,USA,MI,Winter Warfare
Aaron Huff,M,SBD,Multi-ply,22,M-EO,90,90,-295,-295,,,,,,,,,,,,,,,DQ,,,No,20-23,,,UPA,20/01/2018,USA,MI,Winter Warfare
James Reeves,M,SBD,Wraps,23,M-RJr,89.3,90,265,280,287.5,,287.5,175,-190,-190,,175,-287.5,287.5,310,,310,772.5,1,495.14,495.14,No,20-23,,477.23,UPA,20/01/2018,USA,MI,Winter Warfare
Thaddeus Wilcome,M,SBD,Wraps,23,M-RJr,95.9,100,-195,-205,205,,205,110,120,-127.5,,120,257.5,272.5,277.5,,277.5,602.5,1,373.19,373.19,No,20-23,,359.09,UPA,20/01/2018,USA,MI,Winter Warfare
Jason VandenBerg,M,SBD,Wraps,22,M-RJr,108,110,210,222.5,-237.5,,222.5,-147.5,155,-165,,155,255,265,277.5,,277.5,655,1,387.7,391.57,No,20-23,,371.65,UPA,20/01/2018,USA,MI,Winter Warfare
Joe Catenacci,M,SBD,Wraps,35,M-RSub,59.7,60,100,105,110,,110,-125,-125,,,,142.5,150,157.5,,157.5,,DQ,,,No,35-39,,,UPA,20/01/2018,USA,MI,Winter Warfare
Joe Catenacci,M,SBD,Wraps,35,M-RO,59.7,60,100,105,110,,110,-125,-125,,,,142.5,150,157.5,,157.5,,DQ,,,No,35-39,,,UPA,20/01/2018,USA,MI,Winter Warfare
Travis Keen,M,SBD,Wraps,24,M-RO,70.5,75,142.5,147.5,152.5,,152.5,92.5,97.5,102.5,,102.5,175,182.5,-190,,182.5,437.5,1,326.09,326.09,No,24-34,,315.9,UPA,20/01/2018,USA,MI,Winter Warfare
